,Unnamed: 0,old_api_id,item_id,item_name,leg_loc_id,brand_id,brand_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten,usda_fields
10,10,,513fc9e73fe3ffd40300111b,"Iced Tea, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Iced Tea (Large),2021-03-18T17:28:18.000Z,,,0.0,,0.0,0.0,0.0,,,0.0,20.0,0.0,0.0,0.0,1.0,,,,,,,1.0,Serving,,,,,,,,,,,
11,11,,513fc9e73fe3ffd403001139,"World Famous Fries, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,Snacks & Sides - Medium French Fries,2021-03-18T17:28:18.000Z,,,320.0,,15.0,2.0,0.0,,,0.0,260.0,43.0,4.0,0.0,5.0,,,,,,,1.0,Serving,111.0,,,,,,,,,,
12,12,,513fc9e73fe3ffd40300113a,Honest Kids Appley Ever After Organic Juice Drink,114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Minute Maid&reg; 100% Apple Juice Box,2021-03-18T17:28:18.000Z,,,35.0,,0.0,0.0,0.0,,,0.0,15.0,8.0,0.0,8.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
13,13,,513fc9e73fe3ffd40300117d,"Sausage, Egg & Cheese McGriddles",114.0,513fbc1283aa2dc80c000053,McDonald's,"Breakfast - Sausage, Egg & Cheese McGriddles&reg;",2021-03-18T17:28:16.000Z,,,550.0,,33.0,13.0,0.0,,,235.0,1290.0,44.0,2.0,15.0,19.0,,,,,,,1.0,Serving,205.0,,,,,,,,,,
14,14,,513fc9e73fe3ffd403001184,"McFlurry with OREO Cookies, Snack Size",114.0,513fbc1283aa2dc80c000053,McDonald's,Desserts & Shakes - Snack Size McFlurry&reg; with OREO&reg; Cookies,2021-03-18T17:28:15.000Z,,,340.0,,11.0,5.0,0.0,,,25.0,170.0,53.0,1.0,40.0,8.0,,,,,,,1.0,Serving,190.0,,,,,,,,,,
15,15,,513fc9e73fe3ffd40300118f,"Sprite, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,Beverages - Sprite&reg; (Medium),2021-03-18T17:28:16.000Z,,,170.0,,0.0,0.0,0.0,,,0.0,95.0,51.0,0.0,51.0,0.0,,,,,,,1.0,Serving,,,,,,,,,,,
16,16,,513fc9e73fe3ffd403001191,"Strawberry Banana Smoothie, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,McCafe - Strawberry Banana Smoothie (Large),2021-03-18T17:28:16.000Z,,,330.0,,1.0,0.5,0.0,,,5.0,70.0,76.0,4.0,68.0,4.0,,,,,,,1.0,Serving,,,,,,,,,,,
17,17,,513fc9e73fe3ffd403001196,"Strawberry Shake, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,"McCafe, Desserts & Shakes - Strawberry McCaf&eacute; Shake (Large)",2021-03-18T17:28:16.000Z,,,800.0,,21.0,14.0,1.0,,,85.0,310.0,130.0,0.0,109.0,19.0,,,,,,,1.0,Serving,,,,,,,,,,,
18,18,,d3ea1640025089ec7f17ad15,"French Vanilla Cappuccino, Large",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:52.000Z,,,310.0,,9.0,5.0,0.0,,,30.0,120.0,47.0,0.0,46.0,10.0,,,,,,,1.0,Serving,,,,,,,,,,,
19,19,,d3ea164009bb2c682addb9c0,"Iced Caramel Latte, Medium",114.0,513fbc1283aa2dc80c000053,McDonald's,,2021-03-18T17:28:51.000Z,,,270.0,,8.0,4.5,0.0,,,25.0,340.0,40.0,0.0,36.0,9.0,,,,,,,1.0,Serving,,,,,,,,,,,
